artifact,stage,owner,version,checksum,verifier,evaluator
contract_requirements_checklist.md,stage_0,Executor,2.0.0,sha256:30eed39bcaabb5aa...,PASS_STRUCT,PASS
contract_field_traceability_table.csv,stage_0,Executor,2.0.0,sha256:2ea0db65800b7978...,PASS_STRUCT,PASS
multi_agent_requirements.md,stage_1,Executor,2.0.0,sha256:296d5307f3ee13dd...,PASS_STRUCT,PASS
system_boundary_map.md,stage_1,Executor,2.0.0,sha256:d142228f620a4dbf...,PASS_STRUCT,PASS
input_output_contract.md,stage_1,Executor,2.0.0,sha256:b6c9e9925a27a741...,PASS_STRUCT,PASS
constraint_register.md,stage_1,Executor,2.0.0,sha256:bbda65fa73eb70c0...,PASS_STRUCT,PASS
agent_role_registry.json,stage_2,Executor,2.0.0,sha256:e2bd03df2ad639c4...,PASS_STRUCT,PASS
role_permission_matrix.md,stage_2,Executor,2.0.0,sha256:8ee6cb55082ffe60...,PASS_STRUCT,PASS
agent_handoff_protocol.md,stage_2,Executor,2.0.0,sha256:4794a5bc79f98404...,PASS_STRUCT,PASS
forbidden_actions_register.md,stage_2,Executor,2.0.0,sha256:9e4f93fb40796e33...,PASS_STRUCT,PASS
loop_skill_orchestrator_model.md,stage_3,Executor,2.1.0,sha256:628fdc8137d7f774...,PASS_STRUCT,PASS
loop_registry_schema.json,stage_3,Executor,2.1.0,sha256:1e660e48934967ff...,PASS_STRUCT,PASS
skill_registry_schema.json,stage_3,Executor,2.1.0,sha256:8da944b2656a5676...,PASS_STRUCT,PASS
orchestrator_responsibility_matrix.md,stage_3,Executor,2.1.0,sha256:8034c217893eda4f...,PASS_STRUCT,PASS
state_store_schema.json,stage_4,Executor,2.1.0,sha256:27c74db4d36d9d11...,PASS_STRUCT,PASS
memory_architecture.md,stage_4,Executor,2.1.0,sha256:68ec4578bd868e84...,PASS_STRUCT,PASS
artifact_manifest_schema.json,stage_4,Executor,2.1.0,sha256:166cd6fac28c0869...,PASS_STRUCT,PASS
run_history_schema.json,stage_4,Executor,2.1.0,sha256:5bfaefe8432f73e5...,PASS_STRUCT,PASS
checkpoint_schema.json,stage_4,Executor,2.1.0,sha256:92529cf6f1f81cdd...,PASS_STRUCT,PASS
